,CloseTime,Open,High,Low,Close,Volume,Adj Volume
0,1588190400,214.71008367,216.527126,214.413912,215.96924559,1254.634738,270473.50006422587
1,1588194000,215.96,216.56088495,215.4129488,216.49999999,1359.36526789,293697.1695237242
2,1588197600,216.40000004,216.72,214.3140808,215.39785429,1151.72913566,248248.28129901105
3,1588201200,215.28,215.39053488,212.79458242,214.75058407,1831.12127602,391904.0165074404
4,1588204800,214.72266656,215.63222131,214.49441396,215.35098483,1028.97813783,221268.38161484146
5,1588208400,215.42830423,216.9,214.31875445,216.89349877,2076.80468649,446590.4110541414
6,1588212000,216.8337686,218.6,216.42305262,217.42856379,2457.19327378,534423.8968316095
7,1588215600,217.23365434,218.82467593,216.46360491,218.40372359,2168.16578432,471139.3251240702
8,1588219200,218.41315577,226.35514441,217.44524194,225.57612125,5344.49555546,1184360.8472217023
9,1588222800,225.54010584,225.54010584,221.05299843,222.827627,3622.1661282,806611.14726487
10,1588226400,222.75388446,226.8391186,222.73614704,225.93069989,2946.78508436,661088.5644028031
11,1588230000,225.93069989,227.13385486,223.249,223.28475434,4811.98161641,1081368.2452662606
12,1588233600,223.28,223.68296312,216.3234,220.36815671,3214.46024875,707128.64034341
13,1588237200,220.35179971,220.805,216.5129735,216.73084042,1937.01490559,423355.97637886053
14,1588240800,216.5495925,216.5495925,207.04147217,207.08,6415.90597206,1365585.6100642951
15,1588244400,206.35843293,212.79903962,202.19405314,212.35039561,4729.39300026,985350.1794422935
16,1588248000,212.35723618,214.2849393,211.61807204,211.74182454,2628.85547772,559709.9570959128
17,1588251600,211.74,213.1836997,207.51674768,208.84290631,2237.87018014,471379.0058389438
18,1588255200,208.99933725,212.27789999,208.00753469,211.260856,2074.81509932,436963.66296891484
19,1588258800,211.15029325,212.27619674,210.52190267,211.32056673,1817.21703348,383887.2627081089
20,1588262400,211.32056672,211.84674061,206.35780003,208.22505329,2306.54769981,482687.2308977853
21,1588266000,208.05120001,210.37,204.27615281,207.515,3521.15041564,731108.6256727172
22,1588269600,207.39,207.48916006,202.0834746,205.71184204,5694.91102874,1168066.1669318336
23,1588273200,205.84,210.29499999,205.84,209.02068269,3709.34749669,773713.6090467563
24,1588276800,209.15091681,212.68949134,209.025,211.5,2351.94666357,496990.32383873867
25,1588280400,211.50302713,212.29,210.06249089,211.63,1393.5194746,294140.29027589574
26,1588284000,211.4048399,211.96019354,208.64968587,209.08636904,967.6153564,203978.10539502904
27,1588287600,209.14979291,210.37235082,206.84580002,210.37235082,1392.66629819,290529.21830221586
28,1588291200,210.35582051,210.6555708,205.29320752,206.35436145,3733.92275753,774260.0738779089
29,1588294800,206.03203023,209.50796461,205.94860207,208.90632374,3254.24927217,677686.1152082256
30,1588298400,208.89783064,209.64326148,207.87295823,208.1011112,2157.72890349,450256.83266656735
31,1588302000,207.95929298,210.16472589,207.8456698,210.08602998,1529.70388923,319425.9798230243
32,1588305600,210.1337948,210.29056546,207.92920912,208.69240056,1583.58554539,330835.7330651214
33,1588309200,209.0465481,212.41124577,208.92058817,212.01488114,1696.91448012,357266.73872909526
34,1588312800,212.30982582,214.889,211.49118713,214.45267666,2507.10219999,535310.2571093518
35,1588316400,214.27096791,214.27096791,212.49893592,212.9201613,1290.25064302,275333.723554956
36,1588320000,213.06348647,213.64892669,209.9196,212.49893592,2119.54625352,448765.1439624901
37,1588323600,212.67,213.36567115,211.56777576,213.06008787,2211.0420762,469337.50782646367
38,1588327200,213.21125014,214.66683526,212.72840338,214.49882427,1759.71002262,376090.54538793996
39,1588330800,214.51859769,215.0,213.11612562,214.63898455,2070.05557632,443161.2485572517
